barrio,nombarrio,INGRESO,EMPLEO,DESEMPLEO,EDUCACION,cluster
1,Ciudad Vieja,83396.58895,0.633,0.071,0.289,A
10,"Pque. Batlle, V. Dolores",113385.1131,0.641,0.049,0.39,A
11,Malvin,124600.6906,0.609,0.067,0.4,A
12,Malvin Norte,72951.22024,0.537,0.108,0.129,C
13,Punta Gorda,178967.9489,0.576,0.059,0.437,B
14,Carrasco,237023.1221,0.532,0.061,0.434,B
15,Carrasco Norte,150438.517,0.599,0.077,0.311,B
16,Ba地dos de Carrasco,71441.14272,0.526,0.163,0.06,C
17,"Maro地s, Parque Guarani",63891.22443,0.586,0.114,0.083,C
18,Flor de Maro地s,64300.07079,0.553,0.087,0.065,C
19,Las Canteras,78744.13554,0.51,0.117,0.133,C
2,Centro,87741.24009,0.635,0.089,0.385,A
20,"Pta. Rieles, Bella Italia",57950.75801,0.537,0.133,0.045,C
21,Jardines del Hipodromo,59142.33258,0.545,0.089,0.034,C
22,Ituzaingo,64310.98074,0.567,0.068,0.055,C
23,Union,84062.62686,0.598,0.072,0.18,A
24,Villa Espa她la,71328.72377,0.6,0.079,0.089,C
25,"Mercado Modelo, Bolivar",81440.90758,0.568,0.124,0.197,C
26,"Castro, P. Castellanos",70350.62959,0.607,0.082,0.092,C
27,Cerrito,70087.03321,0.578,0.088,0.114,C
28,Las Acacias,62898.30324,0.567,0.146,0.058,C
29,Aires Puros,80707.31145,0.583,0.072,0.171,A
3,Barrio Sur,91848.22947,0.715,0.056,0.38,A
30,Casavalle,46288.19528,0.55,0.131,0.013,C
31,Piedras Blancas,59585.56781,0.575,0.124,0.039,C
32,"Manga, Toledo Chico",55718.40263,0.538,0.086,0.027,C
33,Paso de las Duranas,104710.5193,0.616,0.069,0.263,A
34,"Pe地rol, Lavalleja",68558.47411,0.566,0.124,0.078,C
35,Cerro,68125.52977,0.558,0.081,0.069,C
36,"Casabo, Pajas Blancas",55489.36898,0.551,0.096,0.034,C
37,"La Paloma, Tomkinson",56198.4511,0.549,0.143,0.023,C
38,La Teja,73039.32452,0.553,0.115,0.082,C
39,"Prado, Nueva Savona",105222.8072,0.573,0.087,0.285,A
4,Cordon,93689.66439,0.686,0.058,0.408,A
40,"Capurro, Bella Vista",96658.86702,0.594,0.084,0.254,A
41,Aguada,80221.05908,0.63,0.085,0.276,A
42,Reducto,77356.5617,0.587,0.107,0.224,C
43,Atahualpa,99607.12888,0.583,0.132,0.227,C
44,Jacinto Vera,87957.32946,0.643,0.064,0.235,A
45,La Figurita,88633.56256,0.627,0.084,0.229,A
46,Larra地ga,98030.08286,0.596,0.075,0.323,A
47,La Blanqueada,99288.12271,0.681,0.071,0.355,A
48,"Villa Mu她z, Retiro",76787.12843,0.661,0.059,0.224,A
49,La Comercial,86888.13848,0.635,0.08,0.271,A
5,Palermo,119316.3911,0.649,0.09,0.395,A
50,Tres Cruces,90768.7041,0.649,0.091,0.4,A
51,Brazo Oriental,83344.15378,0.643,0.09,0.215,A
52,Sayago,87189.55152,0.573,0.065,0.203,A
53,Conciliacion,61241.32061,0.562,0.101,0.053,C
54,Belvedere,70521.37956,0.569,0.065,0.124,C
55,Nuevo Paris,60604.31059,0.569,0.084,0.045,C
56,"Tres Ombues, Victoria",53842.16714,0.526,0.081,0.054,C
57,Paso de la Arena,60622.94183,0.543,0.121,0.052,C
58,"Colon Sureste, Abayuba",68691.22913,0.54,0.104,0.083,C
59,Colon Centro y Noroeste,69712.33409,0.567,0.098,0.082,C
6,Parque Rodo,113495.7099,0.67,0.051,0.522,A
60,"Lezica, Melilla",67067.98129,0.526,0.07,0.098,C
61,"Villa Garcia, Manga Rur.",53190.48602,0.567,0.122,0.022,C
62,Manga,56634.28325,0.544,0.109,0.038,C
7,Punta Carretas,172545.3275,0.602,0.058,0.474,B
8,Pocitos,136953.3395,0.61,0.055,0.482,B
9,Buceo,107060.595,0.643,0.068,0.324,A
